survey2,hhid2,indID,relat,gender,age,degree,wf2
bsh,1002880,1,1,2,63,6,30.450001
bsh,1002930,1,1,2,59,6,30.215
bsh,1002940,1,1,1,74,3,30.215
bsh,1002980,1,3,2,46,2,40.471054
bsh,1002980,2,3,1,45,2,40.471054
bsh,1002980,3,4,2,23,3,40.471054
bsh,1002990,1,3,2,60,1,40.471054
bsh,1002990,2,3,1,70,1,40.471054
bsh,1002990,3,6,2,2,,40.471054
bsh,1002990,4,4,1,37,3,40.471054
bsh,1003010,1,2,1,29,6,14.44231
bsh,1003010,2,2,2,27,5,14.44231
bsh,1003020,1,3,2,22,3,20.667534
bsh,1003020,2,4,1,3,,20.667534
bsh,1003050,1,1,1,28,3,30.215
bsh,1003060,1,3,2,40,4,40.471054
bsh,1003060,2,3,1,42,4,40.471054
bsh,1003060,3,4,2,17,,40.471054
bsh,1003060,4,4,1,12,,40.471054
bsh,1003070,1,3,1,64,1,40.471054
bsh,1003070,2,3,2,57,1,40.471054
bsh,1003070,3,4,2,22,2,40.471054
bsh,1003070,4,9,1,22,3,40.471054
bsh,1003080,1,2,1,64,2,18.024281
bsh,1003080,2,2,2,59,2,18.024281
bsh,1003090,1,3,2,50,4,40.471054
bsh,1003090,2,3,1,63,4,40.471054
bsh,1003090,3,4,2,19,3,40.471054
bsh,1003090,4,4,2,23,3,40.471054
bsh,1003090,5,4,2,17,,40.471054
bsh,1003090,6,4,1,16,,40.471054
bsh,1003140,1,3,2,38,4,15.380822
bsh,1003140,2,4,1,14,,15.380822
bsh,1003320,1,1,2,26,3,32.080002
bsh,1003330,1,2,1,34,2,15.380822
bsh,1003330,2,2,2,25,3,15.380822
bsh,1003350,1,3,2,33,2,47.58638
bsh,1003350,2,3,1,37,2,47.58638
bsh,1003350,3,4,2,13,,47.58638
bsh,1003370,1,4,1,33,5,47.58638
bsh,1003370,2,4,2,24,3,47.58638
bsh,1003370,3,3,2,67,3,47.58638
bsh,1003370,4,4,2,31,5,47.58638
bsh,1003424,1,3,1,45,2,34.159489
bsh,1003424,2,3,2,37,2,34.159489
bsh,1003424,3,4,1,11,,34.159489
bsh,1003424,4,4,2,9,,34.159489
bsh,1003424,5,4,1,1,,34.159489
bsh,1003460,1,3,1,26,3,34.159489
bsh,1003460,2,3,2,27,5,34.159489
bsh,1003460,3,4,2,4,,34.159489
bsh,1003460,4,4,2,1,,34.159489
bsh,1003481,1,3,1,42,4,34.159489
bsh,1003481,2,3,2,32,1,34.159489
bsh,1003481,3,4,2,7,,34.159489
bsh,1003481,4,4,2,5,,34.159489
bsh,1003481,5,4,2,3,,34.159489
bsh,1003500,1,3,1,33,5,34.159489
bsh,1003500,2,3,2,32,5,34.159489
bsh,1003500,3,4,2,6,,34.159489
bsh,1003500,4,4,2,4,,34.159489
bsh,1003500,5,4,2,2,,34.159489
bsh,1003510,1,3,1,36,5,34.159489
bsh,1003510,2,3,2,34,5,34.159489
bsh,1003510,3,4,1,13,,34.159489
bsh,1003510,4,4,2,11,,34.159489
bsh,1003510,5,4,1,9,,34.159489
bsh,1003510,6,3,1,6,,34.159489
bsh,1003510,7,4,2,2,,34.159489
bsh,1003520,1,3,1,30,5,34.159489
bsh,1003520,2,3,2,29,5,34.159489
bsh,1003520,3,4,1,6,,34.159489
bsh,1003520,4,3,1,4,,34.159489
bsh,1003520,5,4,1,2,,34.159489
bsh,1003520,6,4,1,1,,34.159489
bsh,1003530,1,3,1,32,6,34.159489
bsh,1003530,2,3,2,27,5,34.159489
bsh,1003530,3,4,1,6,,34.159489
bsh,1003530,4,4,2,4,,34.159489
bsh,1003530,5,4,1,2,,34.159489
bsh,1003540,1,3,2,27,5,34.159489
bsh,1003540,2,3,1,27,5,34.159489
bsh,1003540,3,4,2,3,,34.159489
bsh,1003570,1,3,2,34,6,34.159489
bsh,1003570,2,3,1,35,5,34.159489
bsh,1003570,3,3,2,10,,34.159489
bsh,1003570,4,3,1,9,,34.159489
bsh,1003570,5,4,2,4,,34.159489
bsh,1003570,6,4,2,2,,34.159489
bsh,1003580,1,2,1,68,4,26.061464
bsh,1003580,2,2,2,65,5,26.061464
bsh,1003610,1,2,2,59,4,20.667534
bsh,1003610,2,2,1,59,2,20.667534
bsh,1003640,1,3,2,42,4,55.89727
bsh,1003640,2,4,1,16,,55.89727
bsh,1003640,3,4,2,11,,55.89727
bsh,1003680,1,2,2,63,1,20.667534
bsh,1003680,2,2,1,69,1,20.667534
